"Laikotarpis","Rodiklis","Administracinė teritorija","Gyvenamoji vietovė","Matavimo vienetai","Reikšmė"
"2018","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio apskritis","Miestas ir kaimas","asmenys","218726"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio apskritis","Miestas ir kaimas","asmenys","214617"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio apskritis","Miestas ir kaimas","asmenys","211189"
"2015","Nuolatinių gyventojų skaičius metų pradžioje","Šiaulių apskritis","Miestas ir kaimas","asmenys","281632"
"2016","Nuolatinių gyventojų skaičius metų pradžioje","Šiaulių apskritis","Miestas ir kaimas","asmenys","276329"
"2017","Nuolatinių gyventojų skaičius metų pradžioje","Šiaulių apskritis","Miestas ir kaimas","asmenys","270482"
"2018","Nuolatinių gyventojų skaičius metų pradžioje","Šiaulių apskritis","Miestas ir kaimas","asmenys","265467"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Šiaulių apskritis","Miestas ir kaimas","asmenys","262487"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Šiaulių apskritis","Miestas ir kaimas","asmenys","261452"
"2015","Nuolatinių gyventojų skaičius metų pradžioje","Tauragės apskritis","Miestas ir kaimas","asmenys","103083"
"2016","Nuolatinių gyventojų skaičius metų pradžioje","Tauragės apskritis","Miestas ir kaimas","asmenys","101200"
"2017","Nuolatinių gyventojų skaičius metų pradžioje","Tauragės apskritis","Miestas ir kaimas","asmenys","98608"
"2018","Nuolatinių gyventojų skaičius metų pradžioje","Tauragės apskritis","Miestas ir kaimas","asmenys","95817"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Tauragės apskritis","Miestas ir kaimas","asmenys","93695"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Tauragės apskritis","Miestas ir kaimas","asmenys","91822"
"2015","Nuolatinių gyventojų skaičius metų pradžioje","Telšių apskritis","Miestas ir kaimas","asmenys","143511"
"2016","Nuolatinių gyventojų skaičius metų pradžioje","Telšių apskritis","Miestas ir kaimas","asmenys","141293"
"2017","Nuolatinių gyventojų skaičius metų pradžioje","Telšių apskritis","Miestas ir kaimas","asmenys","137769"
"2018","Nuolatinių gyventojų skaičius metų pradžioje","Telšių apskritis","Miestas ir kaimas","asmenys","134139"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Telšių apskritis","Miestas ir kaimas","asmenys","132082"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Telšių apskritis","Miestas ir kaimas","asmenys","130613"
"2015","Nuolatinių gyventojų skaičius metų pradžioje","Utenos apskritis","Miestas ir kaimas","asmenys","140170"
"2016","Nuolatinių gyventojų skaičius metų pradžioje","Utenos apskritis","Miestas ir kaimas","asmenys","137193"
"2017","Nuolatinių gyventojų skaičius metų pradžioje","Utenos apskritis","Miestas ir kaimas","asmenys","133481"
"2018","Nuolatinių gyventojų skaičius metų pradžioje","Utenos apskritis","Miestas ir kaimas","asmenys","129639"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Utenos apskritis","Miestas ir kaimas","asmenys","127029"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Utenos apskritis","Miestas ir kaimas","asmenys","124963"
