"TIME","GEO","DAIRYPROD","UNIT","Value"
"2016","Bulgaria","Raw cows' milk delivered to dairies","Thousand tonnes","530.09"
"2017","Bulgaria","Raw cows' milk delivered to dairies","Thousand tonnes","592.49"
"2018","Bulgaria","Raw cows' milk delivered to dairies","Thousand tonnes","648.80"
"2019","Bulgaria","Raw cows' milk delivered to dairies","Thousand tonnes","658.77"
"2020","Bulgaria","Raw cows' milk delivered to dairies","Thousand tonnes","694.18"
"2011","Czechia","Raw cows' milk delivered to dairies","Thousand tonnes","2,366.20"
"2012","Czechia","Raw cows' milk delivered to dairies","Thousand tonnes","2,446.13"
"2013","Czechia","Raw cows' milk delivered to dairies","Thousand tonnes","2,382.13"
"2014","Czechia","Raw cows' milk delivered to dairies","Thousand tonnes","2,414.15"
"2015","Czechia","Raw cows' milk delivered to dairies","Thousand tonnes","2,500.39"
"2016","Czechia","Raw cows' milk delivered to dairies","Thousand tonnes","2,793.20"
"2017","Czechia","Raw cows' milk delivered to dairies","Thousand tonnes","2,979.34"
"2018","Czechia","Raw cows' milk delivered to dairies","Thousand tonnes","3,033.02"
"2019","Czechia","Raw cows' milk delivered to dairies","Thousand tonnes","3,073.49"
"2020","Czechia","Raw cows' milk delivered to dairies","Thousand tonnes","3,192.02"
"2011","Denmark","Raw cows' milk delivered to dairies","Thousand tonnes","4,786.70"
"2012","Denmark","Raw cows' milk delivered to dairies","Thousand tonnes","4,915.70"
"2013","Denmark","Raw cows' milk delivered to dairies","Thousand tonnes","5,025.40"
"2014","Denmark","Raw cows' milk delivered to dairies","Thousand tonnes","5,112.60"
"2015","Denmark","Raw cows' milk delivered to dairies","Thousand tonnes","5,277.60"
"2016","Denmark","Raw cows' milk delivered to dairies","Thousand tonnes","5,376.29"
"2017","Denmark","Raw cows' milk delivered to dairies","Thousand tonnes","5,494.18"
"2018","Denmark","Raw cows' milk delivered to dairies","Thousand tonnes","5,615.21"
"2019","Denmark","Raw cows' milk delivered to dairies","Thousand tonnes","5,614.69"
"2020","Denmark","Raw cows' milk delivered to dairies","Thousand tonnes","5,666.50"
"2011","Germany (until 1990 former territory of the FRG)","Raw cows' milk delivered to dairies","Thousand tonnes","29,339.35"
"2012","Germany (until 1990 former territory of the FRG)","Raw cows' milk delivered to dairies","Thousand tonnes","29,701.78"
"2013","Germany (until 1990 former territory of the FRG)","Raw cows' milk delivered to dairies","Thousand tonnes","30,301.42"
"2014","Germany (until 1990 former territory of the FRG)","Raw cows' milk delivered to dairies","Thousand tonnes","31,375.28"
"2015","Germany (until 1990 former territory of the FRG)","Raw cows' milk delivered to dairies","Thousand tonnes","31,879.11"
"2016","Germany (until 1990 former territory of the FRG)","Raw cows' milk delivered to dairies","Thousand tonnes","31,972.73"
"2017","Germany (until 1990 former territory of the FRG)","Raw cows' milk delivered to dairies","Thousand tonnes","31,937.03"
"2018","Germany (until 1990 former territory of the FRG)","Raw cows' milk delivered to dairies","Thousand tonnes","32,490.94"
"2019","Germany (until 1990 former territory of the FRG)","Raw cows' milk delivered to dairies","Thousand tonnes","32,442.21"
"2020","Germany (until 1990 former territory of the FRG)","Raw cows' milk delivered to dairies","Thousand tonnes","32,548.98"
"2011","Estonia","Raw cows' milk delivered to dairies","Thousand tonnes","623.50"
"2012","Estonia","Raw cows' milk delivered to dairies","Thousand tonnes","649.10"
"2013","Estonia","Raw cows' milk delivered to dairies","Thousand tonnes","688.80"
"2014","Estonia","Raw cows' milk delivered to dairies","Thousand tonnes","730.00"
"2015","Estonia","Raw cows' milk delivered to dairies","Thousand tonnes","720.40"
"2016","Estonia","Raw cows' milk delivered to dairies","Thousand tonnes","714.70"
"2017","Estonia","Raw cows' milk delivered to dairies","Thousand tonnes","726.80"
"2018","Estonia","Raw cows' milk delivered to dairies","Thousand tonnes","748.10"
"2019","Estonia","Raw cows' milk delivered to dairies","Thousand tonnes","763.00"
"2020","Estonia","Raw cows' milk delivered to dairies","Thousand tonnes","787.80"
"2011","Ireland","Raw cows' milk delivered to dairies","Thousand tonnes","5,536.68"
"2012","Ireland","Raw cows' milk delivered to dairies","Thousand tonnes","5,379.70"
"2013","Ireland","Raw cows' milk delivered to dairies","Thousand tonnes","5,583.69"
"2014","Ireland","Raw cows' milk delivered to dairies","Thousand tonnes","5,816.23"
"2015","Ireland","Raw cows' milk delivered to dairies","Thousand tonnes","6,585.13"
"2016","Ireland","Raw cows' milk delivered to dairies","Thousand tonnes","6,851.63"
"2017","Ireland","Raw cows' milk delivered to dairies","Thousand tonnes","7,475.42"
"2018","Ireland","Raw cows' milk delivered to dairies","Thousand tonnes","7,810.24"
"2019","Ireland","Raw cows' milk delivered to dairies","Thousand tonnes","8,226.62"
"2020","Ireland","Raw cows' milk delivered to dairies","Thousand tonnes","8,539.05"
"2011","Greece","Raw cows' milk delivered to dairies","Thousand tonnes","638.09"
"2012","Greece","Raw cows' milk delivered to dairies","Thousand tonnes","663.73"
"2013","Greece","Raw cows' milk delivered to dairies","Thousand tonnes","652.00"
"2014","Greece","Raw cows' milk delivered to dairies","Thousand tonnes","619.00"
"2015","Greece","Raw cows' milk delivered to dairies","Thousand tonnes","612.40"
"2016","Greece","Raw cows' milk delivered to dairies","Thousand tonnes","619.00"
"2017","Greece","Raw cows' milk delivered to dairies","Thousand tonnes","614.30"
"2018","Greece","Raw cows' milk delivered to dairies","Thousand tonnes","620.20"
"2019","Greece","Raw cows' milk delivered to dairies","Thousand tonnes","631.10"
"2020","Greece","Raw cows' milk delivered to dairies","Thousand tonnes","652.18"
"2011","Spain","Raw cows' milk delivered to dairies","Thousand tonnes","5,950.32"
"2012","Spain","Raw cows' milk delivered to dairies","Thousand tonnes","5,996.82"
"2013","Spain","Raw cows' milk delivered to dairies","Thousand tonnes","6,299.55"
"2014","Spain","Raw cows' milk delivered to dairies","Thousand tonnes","6,601.10"
"2015","Spain","Raw cows' milk delivered to dairies","Thousand tonnes","6,871.80"
"2016","Spain","Raw cows' milk delivered to dairies","Thousand tonnes","6,863.71"
"2017","Spain","Raw cows' milk delivered to dairies","Thousand tonnes","7,013.90"
"2018","Spain","Raw cows' milk delivered to dairies","Thousand tonnes","7,120.80"
"2019","Spain","Raw cows' milk delivered to dairies","Thousand tonnes","7,265.21"
"2020","Spain","Raw cows' milk delivered to dairies","Thousand tonnes","7,427.61"
"2011","France","Raw cows' milk delivered to dairies","Thousand tonnes","24,630.98"
"2012","France","Raw cows' milk delivered to dairies","Thousand tonnes","24,535.96"
"2013","France","Raw cows' milk delivered to dairies","Thousand tonnes","23,988.94"
"2014","France","Raw cows' milk delivered to dairies","Thousand tonnes","25,308.50"
"2015","France","Raw cows' milk delivered to dairies","Thousand tonnes","25,374.92"
"2016","France","Raw cows' milk delivered to dairies","Thousand tonnes","24,453.33"
"2017","France","Raw cows' milk delivered to dairies","Thousand tonnes","24,629.49"
